class_name,title
CRJU 247,Restorative and Transformative Justice
CRJU 350,Behind the Walls: Crime and Justice
CRJU 369,"Gender, Crime and Justice"
DANC 251,Dance History
ENGL 200,Personal and Public Writing
ENGL 201,Technical Writing I
ENGL 202,Business Communication
ENGL 207,Technical Writing I for English Majors
ENGL 280,The Journalistic Essay
GEOG 381,Latin America: Globalization and Cohesion
GEOG 386,Geography of Canada
INTD 200,Introduction to Canadian Studies
LTAC 201,Introduction to Latin American and Caribbean Studies
MUSC 260,Introduction to Western Classical Music
PHIL 406,Applied Ethics
POLI 274,Western Political Thought - Plato to the Present
POLI 285,Law and the Judicial Process
POLI 330,Politics of East Asia
POLI 479,Public Policy
READ 201,Teaching Content Area Literacies in Elementary and Early Childhood Classrooms
SOCI 204,"Gender, Sexuality and Society"
SOCI 211,Homelessness in U.S. Society
SOCI 214,Middle Eastern Societies
SOCI 219,Population and Society
SOCI 226,Food and Society
SOCI 232,Understanding Japanese Society
SOCI 239,Unequal Spaces
SOCI 245,Race and Ethnicity in America
SOCI 256,City Neighborhoods: Exploring the Formation of Urban Enclaves
SOCI 337,Environmental Sociology
SOCI 347,Immigration and Migration: A Sociological Perspective
SOCI 353,Experiencing World Cities
SOCI 360,Feminist Theory in Sociology
THEA 219,Introduction to Latin American and Caribbean Theatre
ANTH 130,"Monkeys, Apes and Us"
ANTH 216,Anthropology of the Middle East
ANTH 218,Anthropology of Childhood
ARTH 208,Survey of Islamic Art and Architecture
ARTH 211,Monuments as Cultural Symbols and Emblems of Power
ARTH 212,Art and Culture in Latin America: From Independence to the Present
ARTH 218,History of Photography
ARTH 219,Pre-Columbian Art and Architecture
ARTS 116,Introduction to Digital Photography
ARTS 221,Sustainable Science and Art Studio
CHEM 221,Sustainable Science and Art Laboratory
CHST 203,Introduction to Childhood Studies
COMM 260,Group Communication and Decision Making
EDHM 235,"Learning, Motivation, and Teaching"
INTD 233,Introduction to International Migration Studies
MENA 360,MENA Study Abroad - All Majors (Speaking Intensive)
MUSC 263,Music of India
MUSC 362,Music of the World
PHIL 220,Ethics Bowl: Making the Case for WhatÕs Right
SOCI 230,Art and American Society
SUST 101,Sustainability Innovation and Leadership
